Departamento,CodDepto,NumPersonas
AMAZONAS,91,18129
ANTIOQUIA,05,4229986
ARAUCA,81,57978
ATLANTICO,08,1233540
BOGOTA D.C.,11,6410877
BOLIVAR,13,699467
BOYACA,15,499188
CALDAS,17,506973
CAQUETA,18,78067
CASANARE,85,170313
CAUCA,19,298762
CESAR,20,344569
CHOCO,27,55321
CORDOBA,23,351327
CUNDINAMARCA,25,1677766
GUAINIA,94,6005
GUAVIARE,95,22820
HUILA,41,355522
LA GUAJIRA,44,147735
MAGDALENA,47,404570
META,50,469443
NARINO,52,284626
NORTE DE SANTANDER,54,478728
PUTUMAYO,86,49527
QUINDIO,63,308134
RISARALDA,66,602504
SAN ANDRES,88,45347
SANTANDER,68,1181266
SUCRE,70,171297
TOLIMA,73,538129
VALLE,76,2627055
VAUPES,97,4965
VICHADA,99,11885
