Departamento,CodDepto,NumPersonas
AMAZONAS,91,56688
ANTIOQUIA,05,2538662
ARAUCA,81,226157
ATLANTICO,08,1482729
BOGOTA D.C.,11,1572561
BOLIVAR,13,1541791
BOYACA,15,653421
CALDAS,17,406880
CAQUETA,18,325162
CASANARE,85,242143
CAUCA,19,1002064
CESAR,20,894650
CHOCO,27,373964
CORDOBA,23,1311897
CUNDINAMARCA,25,898681
GUAINIA,94,43684
GUAVIARE,95,60843
HUILA,41,792986
LA GUAJIRA,44,833209
MAGDALENA,47,964923
META,50,559353
NARINO,52,1163813
NORTE DE SANTANDER,54,1117572
PUTUMAYO,86,266745
QUINDIO,63,255655
RISARALDA,66,427882
SAN ANDRES,88,16590
SANTANDER,68,1008911
SUCRE,70,776772
TOLIMA,73,754706
VALLE,76,1935106
VAUPES,97,27586
VICHADA,99,66124
